stimulus,cue,correct_response,task_type,thisN,thisTrialN,thisRepN,response.keys,response.corr,response.rt,response.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instruction_routine.started,instruction_text.started,start_key.started,instruction_routine.stopped,start_key.keys,start_key.rt,start_key.duration,cue_routine.started,text_2.started,cue_routine.stopped,stimuli_routine.started,text_3.started,response.started,text_3.stopped,stimuli_routine.stopped,trials.response.keys,trials.response.corr,trials.response.rt,trials.response.duration,feedback_routine.started,feedback_test.started,feedback_routine.stopped,end_routine_2.started,text_5.started,end_routine_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.03605670000069949,0.058921200000440876,0.058921200000440876,55.02934240000013,space,54.95867690000068,None,,,,,,,,,,,,,,,,,,,490094,001,2024-12-06_16h01.14.828,TaskSwitching,2024.2.1post4,None,2024-12-06 16h01.30.274891 +0530,
0,Task A,m,repeat ,0,0,0,z,0,1.4415353999993386,None,0,0,0,0,55.079847599999994,,,,,,,,,55.05224940000062,55.079847599999994,56.03543460000037,56.04371770000034,56.06116100000054,56.06116100000054,57.07968440000059,57.53448910000043,z,0,1.4415353999993386,None,57.54389320000064,57.55977789999997,59.5673211000003,,,,490094,001,2024-12-06_16h01.14.828,TaskSwitching,2024.2.1post4,None,2024-12-06 16h01.30.274891 +0530,
5,Task A,z,repeat ,1,1,0,m,0,1.4329539999998815,None,0,1,1,10,59.59369590000006,,,,,,,,,59.5678867000006,59.59369590000006,60.550000100000034,60.557633800000076,60.575686200000746,60.575686200000746,61.57746560000032,62.03436220000003,m,0,1.4329539999998815,None,62.034514600000875,62.059092800000144,64.05031190000045,,,,490094,001,2024-12-06_16h01.14.828,TaskSwitching,2024.2.1post4,None,2024-12-06 16h01.30.274891 +0530,
4,Task A,m,repeat ,2,2,0,z,0,1.8410235999999713,None,0,2,2,8,64.07499690000077,,,,,,,,,64.05069300000014,64.07499690000077,65.0641895000008,65.07316880000053,65.08957220000048,65.08957220000048,66.10727690000022,66.96491610000066,z,0,1.8410235999999713,None,66.96508820000054,66.99011920000066,68.96612230000028,,,,490094,001,2024-12-06_16h01.14.828,TaskSwitching,2024.2.1post4,None,2024-12-06 16h01.30.274891 +0530,
1,Task A,z,repeat ,3,3,0,m,0,1.141845000000103,None,0,3,3,2,68.98984360000031,,,,,,,,,68.9666029,68.98984360000031,69.9656431000003,69.97363850000056,69.98718050000025,69.98718050000025,71.00498990000051,71.16205440000067,m,0,1.141845000000103,None,71.16220020000037,71.17301230000066,73.17820100000063,,,,490094,001,2024-12-06_16h01.14.828,TaskSwitching,2024.2.1post4,None,2024-12-06 16h01.30.274891 +0530,
7,Task A,z,repeat ,4,4,0,m,0,1.259402399999999,None,0,4,4,14,73.20407720000003,,,,,,,,,73.17865930000062,73.20407720000003,74.19451740000022,74.20402390000072,74.21926560000065,74.21926560000065,75.25312920000033,75.49761710000075,m,0,1.259402399999999,None,75.49783110000044,75.51964750000025,77.50925340000049,,,,490094,001,2024-12-06_16h01.14.828,TaskSwitching,2024.2.1post4,None,2024-12-06 16h01.30.274891 +0530,
6,Task A,m,repeat ,5,5,0,m,1,1.574735099999998,None,0,5,5,12,77.53572190000068,,,,,,,,,77.50953990000016,77.53572190000068,78.50943300000017,78.51698490000035,78.53355700000066,78.53355700000066,79.5357324000006,80.14177090000067,m,1,1.574735099999998,None,80.15109640000082,80.16621920000034,82.15676150000036,,,,490094,001,2024-12-06_16h01.14.828,TaskSwitching,2024.2.1post4,None,2024-12-06 16h01.30.274891 +0530,
A,Task B,z,switch,6,6,0,m,0,2.9293598999993264,None,0,6,6,1,82.18318950000048,,,,,,,,,82.16289850000067,82.18318950000048,83.15598820000014,83.15910359999998,83.1830486000008,83.1830486000008,84.18386850000024,86.13823420000062,m,0,2.9293598999993264,None,86.14413920000061,86.16495080000004,88.16972070000065,,,,490094,001,2024-12-06_16h01.14.828,TaskSwitching,2024.2.1post4,None,2024-12-06 16h01.30.274891 +0530,
J,Task B,m,switch,7,7,0,m,1,0.8666020999999091,None,0,7,7,11,88.18210740000086,,,,,,,,,88.17000860000007,88.18210740000086,89.13868060000004,89.14805070000057,89.1619612000004,89.1619612000004,,90.03608610000083,m,1,0.8666020999999091,None,90.04148440000063,90.06327720000081,92.05940870000086,,,,490094,001,2024-12-06_16h01.14.828,TaskSwitching,2024.2.1post4,None,2024-12-06 16h01.30.274891 +0530,
9,Task A,z,repeat ,8,8,0,z,1,2.0807029999996303,None,0,8,8,18,92.07878980000078,,,,,,,,,92.06540300000052,92.07878980000078,93.03866670000025,93.04656020000039,93.06045489999997,93.06045489999997,94.06273870000041,95.15313100000003,z,1,2.0807029999996303,None,95.15332800000033,95.17734090000067,97.16544800000065,,,,490094,001,2024-12-06_16h01.14.828,TaskSwitching,2024.2.1post4,None,2024-12-06 16h01.30.274891 +0530,
K,Task B,m,switch,9,9,0,m,1,0.8908874999997352,None,0,9,9,3,97.19318160000057,,,,,,,,,97.17184480000014,97.19318160000057,98.18233810000038,98.19212080000034,98.20877830000063,98.20877830000063,,99.1340981000003,m,1,0.8908874999997352,None,99.13425440000083,99.15907480000078,101.16470650000065,,,,490094,001,2024-12-06_16h01.14.828,TaskSwitching,2024.2.1post4,None,2024-12-06 16h01.30.274891 +0530,
D,Task B,m,switch,10,10,0,m,1,0.9330110000000786,None,0,10,10,7,101.17609720000019,,,,,,,,,101.16510180000023,101.17609720000019,102.14744160000009,102.15498500000012,102.1734378000001,102.1734378000001,,103.1196531000005,m,1,0.9330110000000786,None,103.1199303000003,103.14039980000052,105.12989360000029,,,,490094,001,2024-12-06_16h01.14.828,TaskSwitching,2024.2.1post4,None,2024-12-06 16h01.30.274891 +0530,
2,Task A,m,repeat ,11,11,0,m,1,2.0262307999992117,None,0,11,11,4,105.15636040000027,,,,,,,,,105.1349235000007,105.15636040000027,106.14811830000053,106.1576926000007,106.17130100000031,106.17130100000031,107.18859540000085,108.21428470000046,m,1,2.0262307999992117,None,108.2148459,108.23815900000045,110.24277790000087,,,,490094,001,2024-12-06_16h01.14.828,TaskSwitching,2024.2.1post4,None,2024-12-06 16h01.30.274891 +0530,
T,Task B,m,switch,12,12,0,m,1,1.2964871000003768,None,0,12,12,15,110.27053330000035,,,,,,,,,110.24764940000023,110.27053330000035,111.24267560000044,111.24725020000005,111.27002400000038,111.27002400000038,112.2712433000006,112.59326890000011,m,1,1.2964871000003768,None,112.5934171000008,112.61975180000081,114.60790300000008,,,,490094,001,2024-12-06_16h01.14.828,TaskSwitching,2024.2.1post4,None,2024-12-06 16h01.30.274891 +0530,
I,Task B,z,switch,13,13,0,z,1,1.1470203999997466,None,0,13,13,9,114.62028720000035,,,,,,,,,114.60823260000052,114.62028720000035,115.59481620000042,115.599381,115.61809260000064,115.61809260000064,116.65075510000042,116.78025210000033,z,1,1.1470203999997466,None,116.78047660000084,116.80072970000037,118.80564960000083,,,,490094,001,2024-12-06_16h01.14.828,TaskSwitching,2024.2.1post4,None,2024-12-06 16h01.30.274891 +0530,
3,Task A,z,repeat ,14,14,0,z,1,0.8501612000000023,None,0,14,14,6,118.83370930000001,,,,,,,,,118.81154060000063,118.83370930000001,119.79033310000068,119.79978980000033,119.81478770000012,119.81478770000012,,120.67834949999997,z,1,0.8501612000000023,None,120.6785357000008,120.69902100000036,122.68844650000028,,,,490094,001,2024-12-06_16h01.14.828,TaskSwitching,2024.2.1post4,None,2024-12-06 16h01.30.274891 +0530,
8,Task A,m,repeat ,15,15,0,m,1,1.1792483999997785,None,0,15,15,16,122.69996140000057,,,,,,,,,122.68876300000011,122.69996140000057,123.68822870000076,123.69617160000053,123.71344510000017,123.71344510000017,124.73196760000064,124.90938560000086,m,1,1.1792483999997785,None,124.9096397000003,124.93045700000039,126.92041750000044,,,,490094,001,2024-12-06_16h01.14.828,TaskSwitching,2024.2.1post4,None,2024-12-06 16h01.30.274891 +0530,
S,Task B,m,switch,16,16,0,m,1,1.43258490000062,None,0,16,16,19,126.94630990000041,,,,,,,,,126.92784710000069,126.94630990000041,127.91858310000043,127.9254103000003,127.94442780000008,127.94442780000008,128.94677540000066,129.38609260000067,m,1,1.43258490000062,None,129.38624060000075,129.4116911000001,131.40307950000079,,,,490094,001,2024-12-06_16h01.14.828,TaskSwitching,2024.2.1post4,None,2024-12-06 16h01.30.274891 +0530,
U,Task B,z,switch,17,17,0,z,1,0.8848468999995021,None,0,17,17,17,131.42746970000007,,,,,,,,,131.40352940000048,131.42746970000007,132.40206840000064,132.4119954000007,132.42678510000042,132.42678510000042,,133.32188680000036,z,1,0.8848468999995021,None,133.3221607000005,133.3434485000007,135.3335349000008,,,,490094,001,2024-12-06_16h01.14.828,TaskSwitching,2024.2.1post4,None,2024-12-06 16h01.30.274891 +0530,
E,Task B,z,switch,18,18,0,z,1,0.8812152999998943,None,0,18,18,5,135.35895170000003,,,,,,,,,135.33389980000084,135.35895170000003,136.33067400000073,136.33840830000008,136.35730730000068,136.35730730000068,,137.24897630000032,z,1,0.8812152999998943,None,137.24911480000083,137.2754988000006,139.2802646,,,,490094,001,2024-12-06_16h01.14.828,TaskSwitching,2024.2.1post4,None,2024-12-06 16h01.30.274891 +0530,
O,Task B,z,switch,19,19,0,z,1,0.7869593999994322,None,0,19,19,13,139.2919569000005,,,,,,,,,139.28054960000009,139.2919569000005,140.26266850000047,140.27110340000036,140.2889864000008,140.2889864000008,,141.08243130000028,z,1,0.7869593999994322,None,141.08260320000045,141.1064765000001,143.0969797000007,,,,490094,001,2024-12-06_16h01.14.828,TaskSwitching,2024.2.1post4,None,2024-12-06 16h01.30.274891 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.09724330000063,143.12225940000008,144.0995524,490094,001,2024-12-06_16h01.14.828,TaskSwitching,2024.2.1post4,None,2024-12-06 16h01.30.274891 +0530,
